bsn,name,rah,ram,ras,decd,decm,decs,glon,glat,vmag,vmag rank,spectype,specnum
6366,,17,8,48,-30,24,13,354.33,5.83,5.97,4910,A/FmDel Del,0
7937,17    Cap,20,46,10,-21,30,51,24.38,-34.37,5.93,4698,A0,0
2455,,6,39,36,-23,41,44,233.11,-13.02,6.05,5313,A0,0
2755,,7,15,48,-23,44,26,236.79,-5.58,6.32,7113,A0,0
7842,,20,32,52,-24,56,38,19.33,-32.54,6.36,7467,A0,0
3060,,7,51,0,-24,31,42,241.37,1.08,6.45,8074,A0,0
7156,,18,59,11,-39,32,5,357.20,-18.27,6.49,8343,A0,0
8214,5    PsA,21,29,4,-31,14,19,14.98,-46.02,6.50,8401,A0,0
4073,,10,21,36,-22,31,42,263.18,28.54,6.51,8425,A0,0
2952,,7,38,24,-39,59,29,253.54,-8.88,6.59,8728,A0,0
5146,,13,41,31,-23,26,59,317.55,38.00,6.59,8736,A0,0
3255,,8,16,54,-21,19,13,241.80,7.83,6.60,8763,A0,0
7155,,18,58,21,-24,52,36,11.17,-12.48,6.62,8808,A0,0
4556,,11,54,12,-57,24,36,295.26,4.61,6.06,5391,A0-1:III,0
8249,,21,38,3,-64,49,27,328.10,-41.63,6.20,6326,A0-1IV,0
3334,Eta Vol,8,22,4,-73,24,0,286.66,-19.82,5.29,2280,A0-1IV-V,0
5561,,14,56,36,-39,24,58,327.79,17.34,6.36,7443,A0-1V,0
4579,,11,58,54,-25,54,32,288.40,35.48,6.43,7955,A0-1V,0
6000,,16,8,34,-39,5,35,339.53,9.38,6.65,8859,A0-3III,0
7415,,19,30,33,3,26,40,40.50,-7.09,6.05,5346,A0eShell,0
1040,,3,29,55,58,52,43,142.19,2.06,4.54,942,A0Ia,0
964,,3,15,48,57,8,27,141.57,-0.41,5.79,4008,A0Ia,0
2074,,5,56,56,24,14,59,185.32,-0.22,6.02,5148,A0Ia,0
6825,,18,15,31,-18,39,41,12.31,-0.82,6.07,5461,A0Ia,0
4228,,10,48,5,-59,55,9,288.04,-0.66,6.00,5047,A0Ia-Iab,0
386,,1,23,47,78,43,33,124.57,15.96,6.07,5426,A0Iab,0
4169,,10,37,27,-58,44,0,286.29,-0.26,5.45,2705,A0Iae,0
3975,30Eta Leo,10,7,20,16,45,46,219.53,50.75,3.52,292,A0Ib,0
2385,13    Mon,6,32,54,7,19,59,204.30,-0.75,4.50,893,A0Ib,0
6619,,17,45,40,31,30,17,56.40,26.94,6.23,6515,A0Ib,0
4049,,10,18,8,-28,59,31,266.85,22.93,5.34,2405,A0Ib-IIp,0
2435,,6,34,59,-52,58,32,261.93,-23.73,4.39,791,A0II,0
7145,36Xi 1Sgr,18,57,21,-20,39,23,14.99,-10.50,5.08,1786,A0II,0
5403,,14,28,44,-59,11,52,315.11,1.35,6.45,8098,A0II-III,0
5291,11Alp Dra,14,4,23,64,22,33,110.52,50.96,3.65,344,A0III,0
3981,15Alp Sex,10,7,56,0,22,18,241.11,42.07,4.49,888,A0III,0
6161,15    Dra,16,27,59,68,46,5,101.11,37.87,5.00,1622,A0III,0
7601,,19,54,31,24,19,10,61.60,-1.87,5.52,2948,A0III,0
8487,,22,13,49,45,26,27,96.12,-9.07,5.53,2983,A0III,0
7596,58    Aql,19,54,45,0,16,25,40.55,-13.92,5.61,3279,A0III,0
1795,,5,26,49,34,23,30,173.25,-0.43,5.94,4722,A0III,0
273,,0,58,31,66,21,8,123.64,3.49,5.97,4877,A0III,0
2950,,7,40,7,5,13,51,213.79,13.20,6.02,5153,A0III,0
6253,,16,55,25,-63,16,11,326.67,-12.31,6.02,5185,A0III,0
7903,,20,39,11,21,49,2,65.20,-11.82,6.08,5510,A0III,0
7775,,20,20,47,-14,47,6,29.12,-26.32,6.10,5635,A0III,0
4881,,12,51,58,-26,44,17,303.08,36.13,6.15,5967,A0III,0
7338,,19,19,1,37,26,43,69.49,11.09,6.22,6463,A0III,0
6354,,17,6,53,-26,30,47,357.24,8.47,6.29,6903,A0III,0
2709,,7,25,22,81,15,27,132.74,28.08,6.31,7032,A0III,0
1382,,4,27,1,57,35,7,148.74,5.96,6.32,7103,A0III,0
6952,Kap1CrA,18,33,23,-38,43,13,356.00,-13.33,6.32,7155,A0III,0
704,71    Cet,2,24,58,-2,46,48,169.53,-56.93,6.33,7182,A0III,0
8434,,22,6,14,56,20,35,101.47,0.52,6.39,7714,A0III,0
2362,,6,30,6,9,1,45,202.47,-0.58,6.57,8656,A0III,0
7782,,20,19,48,37,7,57,75.31,0.48,6.57,8680,A0III,0
444,,1,33,4,-9,0,53,153.38,-69.39,6.59,8714,A0III,0
422,,1,27,47,40,20,8,130.39,-22.01,6.60,8752,A0III,0
4218,,10,47,38,-15,15,43,263.88,38.05,6.67,8891,A0III,0
5061,,13,27,6,-49,8,38,308.91,13.31,6.31,7053,A0III-IV,0
8389,,21,59,23,57,39,30,101.51,2.13,6.59,8749,A0III-IV,0
3962,,10,3,41,-25,19,0,261.61,23.80,6.70,8928,A0III-IV,0
8695,22Gam PsA,22,52,32,-32,52,32,13.06,-63.72,4.46,863,A0III*,0
2969,,7,44,4,50,26,2,167.94,28.72,5.27,2226,A0IIIn,0
5514,55    Hya,14,47,23,-25,37,28,333.34,30.32,5.63,3334,A0IIIp,0
8180,The2Mic,21,24,25,-41,0,24,0.89,-45.64,5.77,3942,A0IIIpSi,0
1465,Alp Dor,4,33,60,-55,2,42,263.83,-41.42,3.27,227,A0IIISi,0
2421,24Gam Gem,6,37,43,16,23,57,196.77,4.45,1.93,43,A0IV,0
5367,Psi Cen,14,20,33,-37,53,7,321.72,21.71,4.05,549,A0IV,0
191,Eta Phe,0,43,21,-57,27,47,305.08,-59.63,4.36,760,A0IV,0
5724,,15,25,20,-38,44,1,333.09,14.96,4.60,1008,A0IV,0
4789,23    Com,12,34,51,22,37,45,262.15,84.14,4.81,1274,A0IV,0
4874,,12,50,41,-33,59,58,302.75,28.87,4.91,1447,A0IV,0
4604,,12,4,39,-68,19,45,298.62,-5.85,5.35,2437,A0IV,0
7531,,19,50,45,-59,11,35,338.02,-30.55,5.42,2628,A0IV,0
